Title,Journal,PublicationDate,Abstract,DOI
Functional Outcome Prediction in Acute Ischemic Stroke Using a Fused Imaging and Clinical Deep Learning Model.,Stroke,2023,"Predicting long-term clinical outcome based on the early acute ischemic stroke information is valuable for prognostication, resource management, clinical trials, and patient expectations. Current methods require subjective decisions about which imaging features to assess and may require time-consuming postprocessing. This study's goal was to predict ordinal 90-day modified Rankin Scale (mRS) score in acute ischemic stroke patients by fusing a Deep Learning model of diffusion-weighted imaging images and clinical information from the acute period.",10.1161/STROKEAHA.123.044072
Direct Risk Assessment From Myocardial Perfusion Imaging Using Explainable Deep Learning.,JACC. Cardiovascular imaging,2023,"Myocardial perfusion imaging (MPI) is frequently used to provide risk stratification, but methods to improve the accuracy of these predictions are needed.",10.1016/j.jcmg.2022.07.017
From Conventional Deep Learning to GPT: AI's Emergent Power for Cardiac Imaging.,JACC. Cardiovascular imaging,2023,,10.1016/j.jcmg.2023.07.001
Machine learning and the automated optimization of cardiac device parameters.,Heart rhythm,2023,,10.1016/j.hrthm.2023.06.008
"Deep Learning, Constrictive Pericarditis, and its Occasional Doppelganger: A Step Closer to Clinical Realization.",JACC. Cardiovascular imaging,2024,,10.1016/j.jcmg.2023.10.009
Supplementing Existing Societal Risk Models for Surgical Aortic Valve Replacement With Machine Learning for Improved Prediction.,Journal of the American Heart Association,2021,"Background This study evaluated the role of supplementing Society of Thoracic Surgeons (STS) risk models for surgical aortic valve replacement with machine learning (ML). Methods and Results Adults undergoing isolated surgical aortic valve replacement in the STS National Database between 2007 and 2017 were included. ML models for operative mortality and major morbidity were previously developed using extreme gradient boosting. Concordance and discordance in predicted risk between ML and STS models were defined using equal-size tertile-based thresholds of risk. Calibration metrics and discriminatory capability were compared between concordant and discordant patients. A total of 243 142 patients were included. Nearly all calibration metrics were improved in cases of concordance. Similarly, concordance indices improved substantially in cases of concordance for all models with the exception of deep sternal wound infection. The greatest improvements in concordant versus discordant cases were in renal failure: ML model (concordance index, 0.660 [95% CI, 0.632-0.687] discordant versus 0.808 [95% CI, 0.794-0.822] concordant) and STS model (concordance index, 0.573 [95% CI, 0.549-0.576] discordant versus 0.797 [95% CI, 0.782-0.811] concordant) (each <i>P</i><0.001). Excluding deep sternal wound infection, the concordance indices ranged from 0.549 to 0.660 for discordant cases and 0.674 to 0.808 for concordant cases. Conclusions Supplementing ML models with existing STS models for surgical aortic valve replacement may have an important role in risk prediction and should be explored further. In particular, for the roughly 25% to 50% of patients demonstrating discordance in estimated risk between ML and STS, there appears to be a substantial decline in predictive performance suggesting vulnerability of the existing models in these patient subsets.",10.1161/JAHA.120.019697
Deep learning approach to unmask hidden salt effects in the era of artificial intelligence.,European heart journal,2023,,10.1093/eurheartj/ehad673
A Machine-Learning Framework to Identify Distinct Phenotypes of Aortic Stenosis Severity.,JACC. Cardiovascular imaging,2021,The authors explored the development and validation of machine-learning models for augmenting the echocardiographic grading of aortic stenosis (AS) severity.,10.1016/j.jcmg.2021.03.020
"Race, Sex, and Age Disparities in the Performance of ECG Deep Learning Models Predicting Heart Failure.",Circulation. Heart failure,2024,"Deep learning models may combat widening racial disparities in heart failure outcomes through early identification of individuals at high risk. However, demographic biases in the performance of these models have not been well-studied.",10.1161/CIRCHEARTFAILURE.123.010879
Compete to Win: Enhancing Pseudo Labels for Barely-Supervised Medical Image Segmentation.,IEEE transactions on medical imaging,2023,"This study investigates barely-supervised medical image segmentation where only few labeled data, i.e., single-digit cases are available. We observe the key limitation of the existing state-of-the-art semi-supervised solution cross pseudo supervision is the unsatisfactory precision of foreground classes, leading to a degenerated result under barely-supervised learning. In this paper, we propose a novel Compete-to-Win method (ComWin) to enhance the pseudo label quality. In contrast to directly using one model's predictions as pseudo labels, our key idea is that high-quality pseudo labels should be generated by comparing multiple confidence maps produced by different networks to select the most confident one (a compete-to-win strategy). To further refine pseudo labels at near-boundary areas, an enhanced version of ComWin, namely, ComWin <sup>+</sup> , is proposed by integrating a boundary-aware enhancement module. Experiments show that our method can achieve the best performance on three public medical image datasets for cardiac structure segmentation, pancreas segmentation and colon tumor segmentation, respectively. The source code is now available at https://github.com/Huiimin5/comwin.",10.1109/TMI.2023.3279110
Echocardiography-Based Deep Learning Model to Differentiate Constrictive Pericarditis and Restrictive Cardiomyopathy.,JACC. Cardiovascular imaging,2024,"Constrictive pericarditis (CP) is an uncommon but reversible cause of diastolic heart failure if appropriately identified and treated. However, its diagnosis remains a challenge for clinicians. Artificial intelligence may enhance the identification of CP.",10.1016/j.jcmg.2023.09.011
Machine Learning-Enabled Multimodal Fusion of Intra-Atrial and Body Surface Signals in Prediction of Atrial Fibrillation Ablation Outcomes.,Circulation. Arrhythmia and electrophysiology,2022,"Machine learning is a promising approach to personalize atrial fibrillation management strategies for patients after catheter ablation. Prior atrial fibrillation ablation outcome prediction studies applied classical machine learning methods to hand-crafted clinical scores, and none have leveraged intracardiac electrograms or 12-lead surface electrocardiograms for outcome prediction. We hypothesized that (1) machine learning models trained on electrograms or electrocardiogram (ECG) signals can perform better at predicting patient outcomes after atrial fibrillation ablation than existing clinical scores and (2) multimodal fusion of electrogram, ECG, and clinical features can further improve the prediction of patient outcomes.",10.1161/CIRCEP.122.010850
Genetic Susceptibility to Atrial Fibrillation Identified via Deep Learning of 12-Lead Electrocardiograms.,Circulation. Genomic and precision medicine,2023,"Artificial intelligence (AI) models applied to 12-lead ECG waveforms can predict atrial fibrillation (AF), a heritable and morbid arrhythmia. However, the factors forming the basis of risk predictions from AI models are usually not well understood. We hypothesized that there might be a genetic basis for an AI algorithm for predicting the 5-year risk of new-onset AF using 12-lead ECGs (ECG-AI)-based risk estimates.",10.1161/CIRCGEN.122.003808
AV-casNet: Fully Automatic Arteriole-Venule Segmentation and Differentiation in OCT Angiography.,IEEE transactions on medical imaging,2023,"Automatic segmentation and differentiation of retinal arteriole and venule (AV), defined as small blood vessels directly before and after the capillary plexus, are of great importance for the diagnosis of various eye diseases and systemic diseases, such as diabetic retinopathy, hypertension, and cardiovascular diseases. Optical coherence tomography angiography (OCTA) is a recent imaging modality that provides capillary-level blood flow information. However, OCTA does not have the colorimetric and geometric differences between AV as the fundus photography does. Various methods have been proposed to differentiate AV in OCTA, which typically needs the guidance of other imaging modalities. In this study, we propose a cascaded neural network to automatically segment and differentiate AV solely based on OCTA. A convolutional neural network (CNN) module is first applied to generate an initial segmentation, followed by a graph neural network (GNN) to improve the connectivity of the initial segmentation. Various CNN and GNN architectures are employed and compared. The proposed method is evaluated on multi-center clinical datasets, including 3 ×3 mm2 and 6 ×6 mm2 OCTA. The proposed method holds the potential to enrich OCTA image information for the diagnosis of various diseases.",10.1109/TMI.2022.3214291
Automatic multi-view pose estimation in focused cardiac ultrasound.,Medical image analysis,2024,"Focused cardiac ultrasound (FoCUS) is a valuable point-of-care method for evaluating cardiovascular structures and function, but its scope is limited by equipment and operator's experience, resulting in primarily qualitative 2D exams. This study presents a novel framework to automatically estimate the 3D spatial relationship between standard FoCUS views. The proposed framework uses a multi-view U-Net-like fully convolutional neural network to regress line-based heatmaps representing the most likely areas of intersection between input images. The lines that best fit the regressed heatmaps are then extracted, and a system of nonlinear equations based on the intersection between view triplets is created and solved to determine the relative 3D pose between all input images. The feasibility and accuracy of the proposed pipeline were validated using a novel realistic in silico FoCUS dataset, demonstrating promising results. Interestingly, as shown in preliminary experiments, the estimation of the 2D images' relative poses enables the application of 3D image analysis methods and paves the way for 3D quantitative assessments in FoCUS examinations.",10.1016/j.media.2024.103146
Artificial Intelligence for Contrast-Free MRI: Scar Assessment in Myocardial Infarction Using Deep Learning-Based Virtual Native Enhancement.,Circulation,2022,"Myocardial scars are assessed noninvasively using cardiovascular magnetic resonance late gadolinium enhancement (LGE) as an imaging gold standard. A contrast-free approach would provide many advantages, including a faster and cheaper scan without contrast-associated problems.",10.1161/CIRCULATIONAHA.122.060137
Automated detection and segmentation of pulmonary embolisms on computed tomography pulmonary angiography (CTPA) using deep learning but without manual outlining.,Medical image analysis,2023,"We present a novel computer algorithm to automatically detect and segment pulmonary embolisms (PEs) on computed tomography pulmonary angiography (CTPA). This algorithm is based on deep learning but does not require manual outlines of the PE regions. Given a CTPA scan, both intra- and extra-pulmonary arteries were firstly segmented. The arteries were then partitioned into several parts based on size (radius). Adaptive thresholding and constrained morphological operations were used to identify suspicious PE regions within each part. The confidence of a suspicious region to be PE was scored based on its contrast in the arteries. This approach was applied to the publicly available RSNA Pulmonary Embolism CT Dataset (RSNA-PE) to identify three-dimensional (3-D) PE negative and positive image patches, which were used to train a 3-D Recurrent Residual U-Net (R2-Unet) to automatically segment PE. The feasibility of this computer algorithm was validated on an independent test set consisting of 91 CTPA scans acquired from a different medical institute, where the PE regions were manually located and outlined by a thoracic radiologist (>18 years' experience). An R2-Unet model was also trained and validated on the manual outlines using a 5-fold cross-validation method. The CNN model trained on the high-confident PE regions showed a Dice coefficient of 0.676±0.168 and a false positive rate of 1.86 per CT scan, while the CNN model trained on the manual outlines demonstrated a Dice coefficient of 0.647±0.192 and a false positive rate of 4.20 per CT scan. The former model performed significantly better than the latter model (p<0.01). The promising performance of the developed PE detection and segmentation algorithm suggests the feasibility of training a deep learning network without dedicating significant efforts to manual annotations of the PE regions on CTPA scans.",10.1016/j.media.2023.102882
Deep Learning-Based Prediction of Right Ventricular Ejection Fraction Using 2D Echocardiograms.,JACC. Cardiovascular imaging,2023,"Evidence has shown the independent prognostic value of right ventricular (RV) function, even in patients with left-sided heart disease. The most widely used imaging technique to measure RV function is echocardiography; however, conventional 2-dimensional (2D) echocardiographic assessment is unable to leverage the same clinical information that 3-dimensional (3D) echocardiography-derived right ventricular ejection fraction (RVEF) can provide.",10.1016/j.jcmg.2023.02.017
Microarchitectural Changes of Cardiovascular Calcification in Response to In Vivo Interventions Using Deep-Learning Segmentation and Computed Tomography Radiomics.,"Arteriosclerosis, thrombosis, and vascular biology",2022,"Coronary calcification associates closely with cardiovascular risk, but its progress is accelerated in response to some interventions widely used to reduce risk. This paradox suggests that qualitative, not just quantitative, changes in calcification may affect plaque stability. To determine if the microarchitecture of calcification varies with aging, Western diet, statin therapy, and high intensity, progressive exercise, we assessed changes in a priori selected computed tomography radiomic features (intensity, size, shape, and texture).",10.1161/ATVBAHA.122.317761
Electrocardiogram-based deep learning improves outcome prediction following cardiac resynchronization therapy.,European heart journal,2023,This study aims to identify and visualize electrocardiogram (ECG) features using an explainable deep learning-based algorithm to predict cardiac resynchronization therapy (CRT) outcome. Its performance is compared with current guideline ECG criteria and QRSAREA.,10.1093/eurheartj/ehac617
Topologic Data Analysis and Machine Learning: Defining the Aortic Valvular-Ventricular Disease Terrain.,JACC. Cardiovascular imaging,2021,,10.1016/j.jcmg.2021.04.005
Explainable Machine Learning to Predict Anchored Reentry Substrate Created by Persistent Atrial Fibrillation Ablation in Computational Models.,Journal of the American Heart Association,2023,"Background Postablation arrhythmia recurrence occurs in ~40% of patients with persistent atrial fibrillation. Fibrotic remodeling exacerbates arrhythmic activity in persistent atrial fibrillation and can play a key role in reentrant arrhythmia, but emergent interaction between nonconductive ablation-induced scar and native fibrosis (ie, residual fibrosis) is poorly understood. Methods and Results We conducted computational simulations in pre- and postablation left atrial models reconstructed from late gadolinium enhanced magnetic resonance imaging scans to test the hypothesis that ablation in patients with persistent atrial fibrillation creates new substrate conducive to recurrent arrhythmia mediated by anchored reentry. We trained a random forest machine learning classifier to accurately pinpoint specific nonconductive tissue regions (ie, areas of ablation-delivered scar or vein/valve boundaries) with the capacity to serve as substrate for anchored reentry-driven recurrent arrhythmia (area under the curve: 0.91±0.03). Our analysis suggests there is a distinctive nonconductive tissue pattern prone to serving as arrhythmogenic substrate in postablation models, defined by a specific size and proximity to residual fibrosis. Conclusions Overall, this suggests persistent atrial fibrillation ablation transforms substrate that favors functional reentry (ie, rotors meandering in excitable tissue) into an arrhythmogenic milieu more conducive to anchored reentry. Our work also indicates that explainable machine learning and computational simulations can be combined to effectively probe mechanisms of recurrent arrhythmia.",10.1161/JAHA.123.030500
Deep Learning-Enabled Assessment of Left Heart Structure and Function Predicts Cardiovascular Outcomes.,Journal of the American College of Cardiology,2023,Deep learning interpretation of echocardiographic images may facilitate automated assessment of cardiac structure and function.,10.1016/j.jacc.2023.09.800
Can Deep Learning Detect Incidental Abnormal Cardiac Uptake Related to Amyloidosis on Routine Bone Scintigraphy?,JACC. Cardiovascular imaging,2023,,10.1016/j.jcmg.2023.01.018
Shape constrained CNN for segmentation guided prediction of myocardial shape and pose parameters in cardiac MRI.,Medical image analysis,2022,"Semantic segmentation using convolutional neural networks (CNNs) is the state-of-the-art for many medical image segmentation tasks including myocardial segmentation in cardiac MR images. However, the predicted segmentation maps obtained from such standard CNN do not allow direct quantification of regional shape properties such as regional wall thickness. Furthermore, the CNNs lack explicit shape constraints, occasionally resulting in unrealistic segmentations. In this paper, we use a CNN to predict shape parameters of an underlying statistical shape model of the myocardium learned from a training set of images. Additionally, the cardiac pose is predicted, which allows to reconstruct the myocardial contours. The integrated shape model regularizes the predicted contours and guarantees realistic shapes. We enforce robustness of shape and pose prediction by simultaneously performing pixel-wise semantic segmentation during training and define two loss functions to impose consistency between the two predicted representations: one distance-based loss and one overlap-based loss. We evaluated the proposed method in a 5-fold cross validation on an in-house clinical dataset with 75 subjects and on the ACDC and LVQuan19 public datasets. We show that the two newly defined loss functions successfully increase the consistency between shape and pose parameters and semantic segmentation, which leads to a significant improvement of the reconstructed myocardial contours. Additionally, these loss functions drastically reduce the occurrence of unrealistic shapes in the semantic segmentation output.",10.1016/j.media.2022.102533
